count,function,id,label,is_selected
1,0,0,freezing,False
1,1,1,cooling,False
1,2,2,frost,False
1,3,3,frost,False
1,4,4,freeze,False
1,0,5,hair,False
1,1,6,body_covering,False
1,2,7,coat,False
1,3,8,lock,False
1,4,9,hair,False
1,0,10,wind,True
1,1,11,weather,False
1,2,12,east_wind,False
1,3,13,thermal,False
1,4,14,gust,False
1,0,15,wet,False
1,1,16,wetness,False
1,4,17,moisture,False
1,5,18,lyophilization,False
1,5,19,mane,False
1,5,20,downpour,False
1,5,21,squall,False
1,5,22,whiskers,False
1,5,23,duffel_coat,True
1,5,24,icing,False
1,5,25,dryness,False
1,5,26,cold_snap,False
1,5,27,spallation,True
1,5,28,puff,True
