count,function,id,label,is_selected
1,0,0,b,True
1,1,1,eubacteria,False
1,2,2,bacillus_anthracis,False
1,4,3,f,True
1,0,4,b,False
1,1,5,eubacteria,False
1,2,6,bacillus_subtilis,True
1,4,7,f,False
1,0,8,b,False
1,1,9,eubacteria,False
1,2,10,yersinia_pestis,False
1,4,11,antifungal,False
1,0,12,b,False
1,1,13,eubacteria,False
1,2,14,bacillus_anthracis,False
1,4,15,f,False
2,0,0,a,True
2,1,1,metric_linear_unit,True
2,0,2,a,False
2,1,3,metric_linear_unit,False
2,0,4,a,False
2,1,5,metric_linear_unit,True
2,0,6,a,False
2,1,7,metric_linear_unit,False
3,0,0,b,False
3,1,1,eubacteria,False
3,2,2,bacillus_subtilis,False
3,4,3,b,True
3,0,4,b,False
3,1,5,eubacteria,False
3,2,6,yersinia_pestis,True
3,4,7,f,False
3,0,8,b,False
3,1,9,eubacteria,False
3,2,10,bacillus_anthracis,False
3,4,11,b,False
3,0,12,b,False
3,1,13,eubacteria,False
3,2,14,bacillus_anthracis,False
3,4,15,c,False
4,0,0,a,True
4,1,1,metric_linear_unit,False
4,0,2,a,False
4,1,3,metric_linear_unit,False
4,0,4,s,False
4,1,5,time_unit,False
4,2,6,leap_second,False
4,4,7,ia,False
4,0,8,d,False
4,1,9,fat-soluble_vitamin,True
5,0,0,,False
5,0,1,,False
5,0,2,,False
5,0,3,,True
6,0,0,a,False
6,1,1,metric_linear_unit,False
6,0,2,a,False
6,1,3,metric_linear_unit,False
6,0,4,s,False
6,1,5,time_unit,False
6,2,6,leap_second,False
6,4,7,sa,False
6,0,8,d,False
6,1,9,fat-soluble_vitamin,False
7,0,0,a,False
7,1,1,metric_linear_unit,False
7,0,2,a,True
7,1,3,metric_linear_unit,False
7,0,4,a,False
7,1,5,metric_linear_unit,False
7,0,6,a,False
7,1,7,metric_linear_unit,False
8,0,0,a,False
8,1,1,metric_linear_unit,True
8,0,2,a,False
8,1,3,metric_linear_unit,False
8,0,4,a,True
8,1,5,metric_linear_unit,False
8,0,6,a,True
8,1,7,metric_linear_unit,False
