count,function,id,label,is_selected
1,0,0,a,False
1,1,1,metric_linear_unit,False
1,0,2,a,False
1,1,3,metric_linear_unit,False
1,0,4,a,False
1,1,5,metric_linear_unit,False
1,0,6,a,False
1,1,7,metric_linear_unit,False
2,0,0,a,False
2,1,1,metric_linear_unit,False
2,0,2,a,False
2,1,3,metric_linear_unit,False
2,0,4,a,False
2,1,5,metric_linear_unit,False
2,0,6,a,False
2,1,7,metric_linear_unit,False
3,0,0,a,False
3,1,1,metric_linear_unit,False
3,0,2,a,False
3,1,3,metric_linear_unit,False
3,0,4,a,False
3,1,5,metric_linear_unit,False
3,0,6,a,False
3,1,7,metric_linear_unit,False
4,0,0,a,False
4,1,1,metric_linear_unit,False
4,0,2,a,False
4,1,3,metric_linear_unit,False
4,0,4,a,False
4,1,5,metric_linear_unit,False
4,0,6,a,False
4,1,7,metric_linear_unit,False
5,0,0,a,False
5,1,1,metric_linear_unit,False
5,0,2,a,False
5,1,3,metric_linear_unit,False
5,0,4,a,False
5,1,5,metric_linear_unit,False
5,0,6,a,False
5,1,7,metric_linear_unit,False
6,0,0,a,False
6,1,1,metric_linear_unit,False
6,0,2,a,False
6,1,3,metric_linear_unit,False
6,0,4,a,False
6,1,5,metric_linear_unit,False
6,0,6,a,False
6,1,7,metric_linear_unit,False
7,0,0,a,False
7,1,1,metric_linear_unit,True
7,0,2,a,False
7,1,3,metric_linear_unit,False
7,0,4,a,False
7,1,5,metric_linear_unit,True
7,0,6,a,True
7,1,7,metric_linear_unit,False
8,0,0,a,False
8,1,1,metric_linear_unit,True
8,0,2,a,False
8,1,3,metric_linear_unit,False
8,0,4,a,False
8,1,5,metric_linear_unit,False
8,0,6,a,True
8,1,7,metric_linear_unit,False
9,0,0,a,True
9,1,1,metric_linear_unit,True
9,0,2,b,True
9,1,3,eubacteria,True
9,2,4,bacillus_subtilis,True
9,4,5,f,True
9,0,6,c,True
9,1,7,degree,True
9,2,8,standard_temperature,True
9,0,9,d,True
9,1,10,fat-soluble_vitamin,True
10,0,0,a,True
10,1,1,metric_linear_unit,False
10,0,2,s,True
10,1,3,time_unit,True
10,2,4,leap_second,False
10,4,5,sa,True
10,0,6,f,True
10,1,7,degree,False
10,0,8,df,False
11,0,0,test,True
11,1,1,experiment,False
11,2,2,beta_test,False
11,4,3,lever,True
11,0,4,a,False
11,1,5,metric_linear_unit,False
11,0,6,a,True
11,1,7,metric_linear_unit,False
11,0,8,a,True
11,1,9,metric_linear_unit,False
12,0,0,a,True
12,1,1,metric_linear_unit,False
12,0,2,a,False
12,1,3,metric_linear_unit,True
12,0,4,a,False
12,1,5,metric_linear_unit,False
12,0,6,a,True
12,1,7,metric_linear_unit,False
13,0,0,a,True
13,1,1,metric_linear_unit,False
13,0,2,a,False
13,1,3,metric_linear_unit,True
13,0,4,a,False
13,1,5,metric_linear_unit,False
13,0,6,a,True
13,1,7,metric_linear_unit,False
