count,function,id,label,is_selected
1,0,0,refrigerator,False
1,1,1,white_goods,False
1,2,2,cooler,False
1,3,3,cooler,True
1,4,4,crock_pot,False
1,0,5,coldness,False
1,1,6,temperature,False
1,4,7,heat,True
1,0,8,food,False
1,1,9,substance,False
1,2,10,feed,True
1,3,11,feed,False
1,4,12,provender,False
1,0,13,fun,False
1,1,14,diversion,False
1,4,15,enjoy,False
1,5,16,foodstuff,False
1,5,17,viands,False
1,5,18,heater,False
1,5,19,savor,True
1,5,20,gentian_violet,False
1,5,21,headcheese,False
1,5,22,cold,False
1,5,23,merriment,False
1,5,24,jollity,False
2,0,0,cooler,False
2,1,1,refrigerator,True
2,4,2,cooler,False
2,0,3,heat,False
2,1,4,energy,False
2,2,5,specific_heat,False
2,4,6,energy,False
2,0,7,feed,True
2,1,8,food,True
2,2,9,blood_meal,False
2,3,10,mash,True
2,4,11,lucerne,True
2,0,12,savor,True
2,1,13,taste,True
2,2,14,lemon,False
2,3,15,lemon,False
2,4,16,savor,True
2,5,17,grocery,False
2,5,18,alfalfa,False
2,5,19,sweet,False
2,5,20,sorrel,False
